Word,Level,Category,Details
biography,B1,arts and media,/american-english/words/usdetail/542
chapter,B1,arts and media,/american-english/words/usdetail/861
character,B1,arts and media,/american-english/words/usdetail/862
circus,B1,arts and media,/american-english/words/usdetail/923
audience,B2,arts and media,/american-english/words/usdetail/384
beat,B2,arts and media,/american-english/words/usdetail/486
cast,B2,arts and media,/american-english/words/usdetail/802
cello,B2,arts and media,/american-english/words/usdetail/830
choir,B2,arts and media,/american-english/words/usdetail/909
column,B2,arts and media,/american-english/words/usdetail/1011
bow,C2,arts and media,/american-english/words/usdetail/617
art,A2,arts and media,/american-english/words/usdetail/320
cable,B1,arts and media,/american-english/words/usdetail/731
ballet,B2,arts and media,/american-english/words/usdetail/438
cinema,C1,arts and media,/american-english/words/usdetail/917
brass,C2,arts and media,/american-english/words/usdetail/631
background,B2,arts and media,/american-english/words/usdetail/413
accompany,C2,arts and media,/american-english/words/usdetail/39
act,B1,arts and media,/american-english/words/usdetail/64
advertise,B1,arts and media,/american-english/words/usdetail/109
broadcast,B2,arts and media,/american-english/words/usdetail/663
arm,A1,body and health,/american-english/words/usdetail/307
body,A1,body and health,/american-english/words/usdetail/582
accident,A2,body and health,/american-english/words/usdetail/34
back,A2,body and health,/american-english/words/usdetail/411
brain,A2,body and health,/american-english/words/usdetail/626
cold,A2,body and health,/american-english/words/usdetail/996
ache,B1,body and health,/american-english/words/usdetail/55
ankle,B1,body and health,/american-english/words/usdetail/234
body,B1,body and health,/american-english/words/usdetail/582
breast,B1,body and health,/american-english/words/usdetail/642
cheek,B1,body and health,/american-english/words/usdetail/879
chin,B1,body and health,/american-english/words/usdetail/905
beat,B2,body and health,/american-english/words/usdetail/486
bite,B2,body and health,/american-english/words/usdetail/549
breakdown,B2,body and health,/american-english/words/usdetail/639
bruise,B2,body and health,/american-english/words/usdetail/676
bug,B2,body and health,/american-english/words/usdetail/682
chest,B2,body and health,/american-english/words/usdetail/892
butt,C1,body and health,/american-english/words/usdetail/718
antibiotic,C2,body and health,/american-english/words/usdetail/248
blister,C2,body and health,/american-english/words/usdetail/566
calf,C2,body and health,/american-english/words/usdetail/740
case,C2,body and health,/american-english/words/usdetail/798
blood,A2,body and health,/american-english/words/usdetail/571
breath,B1,body and health,/american-english/words/usdetail/643
care,B2,body and health,/american-english/words/usdetail/780
cholesterol,C1,body and health,/american-english/words/usdetail/910
bandage,A2,body and health,/american-english/words/usdetail/443
birth,A2,body and health,/american-english/words/usdetail/546
aspirin,B1,body and health,/american-english/words/usdetail/335
backache,B1,body and health,/american-english/words/usdetail/412
bone,B1,body and health,/american-english/words/usdetail/592
beat,B1,body and health,/american-english/words/usdetail/486
bleed,B1,body and health,/american-english/words/usdetail/561
ache,B2,body and health,/american-english/words/usdetail/55
catch,A2,body and health,/american-english/words/usdetail/810
burn,B1,body and health,/american-english/words/usdetail/704
bump,B2,body and health,/american-english/words/usdetail/693
carry,C1,body and health,/american-english/words/usdetail/794
attack,C2,body and health,/american-english/words/usdetail/369
breathe,B1,body and health,/american-english/words/usdetail/644
blouse,A1,clothes,/american-english/words/usdetail/573
boot,A1,clothes,/american-english/words/usdetail/601
coat,A1,clothes,/american-english/words/usdetail/984
belt,A2,clothes,/american-english/words/usdetail/514
bracelet,A2,clothes,/american-english/words/usdetail/624
cap,A2,clothes,/american-english/words/usdetail/762
